Sample,Sample type,Experimental group,Total Ion Current Area
Inj00131-Positive-G7_demultiplexed,Biological Sample,Growth with low glutamate supplementation and spermine treatment.,3386846.5
Inj00132-Positive-C1_demultiplexed,Biological Sample,"Growth with low glutamate supplementation, no spermine treatment.",3147158.0
Inj00133-Positive-D6_demultiplexed,Biological Sample,Growth with high glutamate supplementation and spermine treatment.,3296558.0
Inj00134-Positive-C6_demultiplexed,Biological Sample,"Growth with spermine treatment, no supplementation.",3465966.5
Inj00135-Positive-A8_demultiplexed,Biological Sample,Baseline growth with no supplementation or treatment.,3321226.75
Inj00136-Positive-MAT2_demultiplexed,QC,QC,3806846.5
Inj00137-Positive-MAT1_demultiplexed,Blank,Blank,2439895.0
Inj00138-Positive-MAT1_demultiplexed,Blank,Blank,2173656.75
Inj00139-Positive-MAT1_demultiplexed,Blank,Blank,2045463.5
Inj00140-Positive-MAT2_demultiplexed,QC,QC,1964416.5
Inj00141-Positive-C7_demultiplexed,Biological Sample,"Growth with high glutamate supplementation, no spermine treatment.",2147948.25
Inj00142-Positive-B4_demultiplexed,Biological Sample,Growth with high glutamate supplementation and spermine treatment.,2953840.25
Inj00143-Positive-A3_demultiplexed,Biological Sample,"Growth with low glutamate supplementation, no spermine treatment.",3344600.5
Inj00144-Positive-E8_demultiplexed,Biological Sample,"Growth with alanine supplementation, no spermine treatment.",3143917.25
Inj00145-Positive-A6_demultiplexed,Biological Sample,Growth with low glutamate supplementation and spermine treatment.,3346550.25
Inj00146-Positive-E11_demultiplexed,Biological Sample,"Growth with low glutamate supplementation, no spermine treatment.",3134770.75
Inj00147-Positive-MAT2_demultiplexed,QC,QC,3313786.5
Inj00148-Positive-MAT1_demultiplexed,Blank,Blank,2523660.0
Inj00149-Positive-MAT1_demultiplexed,Blank,Blank,2286723.5
Inj00150-Positive-MAT1_demultiplexed,Blank,Blank,2156467.5
Inj00151-Positive-MAT2_demultiplexed,QC,QC,2010478.5
Inj00152-Positive-F12_demultiplexed,Biological Sample,Growth with high glutamate supplementation and spermine treatment.,2228273.75
Inj00153-Positive-A1_demultiplexed,Biological Sample,"Growth with alanine supplementation, no spermine treatment.",3230289.5
Inj00154-Positive-MAT2_demultiplexed,QC,QC,3638771.25
Inj00155-Positive-MAT1_demultiplexed,Blank,Blank,2545329.0
Inj00156-Positive-MAT1_demultiplexed,Blank,Blank,2197066.25
Inj00157-Positive-MAT1_demultiplexed,Blank,Blank,2073558.625
Inj00158-Positive-MAT1_demultiplexed,Blank,Blank,1998734.0
Inj00159-Positive-MAT1_demultiplexed,Blank,Blank,3723769.0
