	plateID	well	CONCuM	Summary
28	plate_1	C05	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
29	plate_1	C06	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
30	plate_1	C07	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
31	plate_1	C08	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
32	plate_1	C09	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
33	plate_1	C10	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
34	plate_1	C11	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
35	plate_1	C12	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
36	plate_1	D01	Media control	
37	plate_1	D02	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
38	plate_1	D03	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
39	plate_1	D04	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
40	plate_1	D05	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
41	plate_1	D06	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
42	plate_1	D07	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
43	plate_1	D08	Media control	
44	plate_1	D09	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
45	plate_1	D10	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
46	plate_1	D11	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
47	plate_1	D12	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
48	plate_1	E01	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
49	plate_1	E02	Media control	
50	plate_1	E03	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
51	plate_1	E04	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
52	plate_1	E05	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
53	plate_1	E06	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
54	plate_1	E07	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
55	plate_1	E08	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
56	plate_1	E09	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
57	plate_1	E10	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
58	plate_1	E11	Media control	
59	plate_1	E12	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
60	plate_1	F01	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
61	plate_1	F02	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
62	plate_1	F03	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
63	plate_1	F04	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
64	plate_1	F05	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
65	plate_1	F06	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
66	plate_1	F07	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
67	plate_1	F08	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
68	plate_1	F09	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
69	plate_1	F10	Media control	
70	plate_1	F11	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
71	plate_1	F12	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
72	plate_1	G01	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
73	plate_1	G02	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
74	plate_1	G03	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
75	plate_1	G04	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
76	plate_1	G05	Media control	
77	plate_1	G06	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
78	plate_1	G07	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
79	plate_1	G08	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
80	plate_1	G09	Media control	
81	plate_1	G10	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
82	plate_1	G11	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
83	plate_1	G12	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
84	plate_1	H01	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
85	plate_1	H02	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
86	plate_1	H03	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
87	plate_1	H04	Media control	
88	plate_1	H05	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
89	plate_1	H06	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
90	plate_1	H07	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
91	plate_1	H08	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
92	plate_1	H09	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
93	plate_1	H10	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
94	plate_1	H11	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
95	plate_1	H12	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
