	Well	Summary	Treatment	Supplement
84	E11	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
85	F11	Baseline growth without any supplementation or hyperosmotic stress.	None	None
86	G11	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
87	H11	Media control	None	None
88	A12	Growth under hyperosmotic stress without any supplementation.	Yes	None
89	B12	Baseline growth without any supplementation or hyperosmotic stress.	None	None
90	C12	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
91	D12	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
92	E12	Media control	None	None
93	F12	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
94	G12	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
95	H12	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
