ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]/D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Palatinose [[M+Na]]	D-Fructose [[M+Na]]/D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Mannose [[M+Na]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Threonine [[M+NH4]]	L-Tryptophan [[M-H2O+H]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N1-Acetylspermine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Pidolic Acid [[M+H]]	Spermidine [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00051-Positive-H10.d.DeMP	5263.665102335854	3761.750698135726	521.9418851475621	39.33000076465146	1221.6881487519859	2195.92504269304	1613.34940636664	4256.65320775759	26915.649898292413	4944.10884612306	145.8066328015263	2395.852546580018	2993.176933193162	479.33438431918967	1579.7550307135002	5851.156988757834	511.29000994046896	67.48350276577963	52.9848462389683	4.916250095581432	63.91125124255862	1637.9306568445472	2970.2344327471155	22776.167317812844	1161.0543975731482	183.54000356837346	147.70370722594137	56775.31422882217	839.8593913284947	302.3493808782581	54.898126067326	20.484375398255967	1108.614396553613	214.67625417372255	511.29000994046896	779.225640149657	53.97979217354757	562.0912609281438	700.5656386203541	2818.6500548000213	177.8043784568618	511.29000994046896	185.9981286161642	511.29000994046896	133.5581275966289	1763.2950342818738	690.7331384291913	Growth with physiological level of arginine supplementation.
Inj00060-Positive-H2.d.DeMP	13165.476645435245	4964.144373673036	947.8869426751593	30.797770700636946	4047.055201698514	1172.5966029723993	2853.9267515923566	9626.014331210192	32252.109872611465	11890.220806794056	96.93064381568468	3938.692675159236	7037.86093418259	372.99522292993635	1464.6050955414014	6115.0684713375795	691.2388535031847	85.00061336698076	66.78128718084649	6.843949044585988	57.032908704883226	2697.656581740977	2763.8147558386413	32741.452229299364	2195.766985138004	192.7712314225053	109.548991641034	27948.40658174098	2025.8089171974523	438.0127388535032	82.12738853503186	2.2813163481953294	1074.5	271.47664543524417	691.2388535031847	780.2101910828026	184.78662420382167	90.1119957537155	2425.039278131635	3698.0138004246287	98.09660297239915	691.2388535031847	192.7712314225053	691.2388535031847	225.8503184713376	1577.5302547770702	549.7972399150743	Growth with physiological level of arginine supplementation.
Inj00062-Positive-A11.d.DeMP	4509.661016949152	1322.2203389830509	515.3898305084746	181.0	1667.3474576271187	119.64406779661017	1418.8559322033898	3819.406779661017	12254.313559322034	4103.177966101695	717.8644067796611	12.271186440677965	3765.7203389830506	120.57001502633393	12.271186440677965	14.572033898305085	1458.7893982919122	334.3898305084746	95.10169491525424	9.203389830508474	126.25604233964019	1260.864406779661	343.59322033898303	14803.652542372882	273.03389830508473	62.889830508474574	717.8644067796611	15440.22033898305	29.14406779661017	12.271186440677965	236.22033898305085	10556.28813559322	791.4915254237288	237.75423728813558	1477.9400671434287	1190.3050847457628	56.75423728813559	424.59260018398743	820.6355932203389	371.20338983050846	156.45762711864407	1423.342954826772	101.23728813559322	1496.081943862125	165.88244391003644	2825.4406779661017	257.6949152542373	Growth with alanine supplementation and lithium chloride treatment as a negative control.
Inj00063-Positive-H4.d.DeMP	10243.929570902412	4271.054865464741	438.78613600018264	27.424133500011415	2073.061350871233	366.6708219816341	2246.747529704639	9523.284285041	30893.794242086933	9380.069365652053	171.65476153710847	2739.3662240566955	2742.413350001141	1136.5779772782507	2510.831778223267	6168.398620206271	1172.1277799634508	56.87968429631997	71.23522892839026	37.58121998149712	229.550154481577	2017.1973752230617	4587.9559636870945	29624.158431901218	1363.0810058153822	1053.289868130068	171.65476153710847	33487.91412945838	2406.2137874639643	23.36129890741713	281.35129553715416	48.7540151111314	1101.0281745930508	161.49767505562278	1172.1277799634508	1232.0545902042165	27.424133500011415	896.8707363151881	1818.118480185942	4879.464345705735	24.3770075555657	1172.1277799634508	1027.8971519263537	1172.1277799634508	537.309874870594	2351.3655204639417	730.2945180188225	Growth with physiological level of arginine supplementation.
Inj00064-Positive-A6.d.DeMP	1934.421052631579	931.9578947368421	308.5052631578948	161.7684210526316	363.62105263157895	146.73684210526318	552.5894736842106	1365.7263157894738	6989.684210526316	1806.6526315789474	501.0526315789474	11.452631578947368	3118.6947368421056	27.200000000000003	5.726315789473684	71.76020138590056	12.526315789473685	194.69473684210527	68.0	4.294736842105263	36.911332089543514	651.3684210526316	1574.021052631579	6192.2947368421055	151.03157894736842	186.10526315789474	501.0526315789474	75545.13684210526	486.7368421052632	30.778947368421054	169.6421052631579	10940.842105263158	1292.0	176.0842105263158	181.71728959820408	1041.4736842105265	11.452631578947368	1595.4947368421053	1113.0526315789475	1383.621052631579	262.69473684210527	159.33666374462067	180.37894736842105	173.7376492639891	204.26393993554194	100.21052631578948	134.56842105263158	Growth with supraphysiological level of arginine and lithium chloride treatment.
Inj00073-Positive-D6.d.DeMP	6424.765560165975	8352.88796680498	681.9626556016598	372.53941908713693	1070.6659751037344	514.9356846473029	4814.5331950207465	4635.190871369295	54299.15975103735	5778.979253112033	366.3817427385892	3479.8568464730292	8464.495850622407	942.8941908713693	1343.9128630705395	7092.103734439834	2094.3796680497926	223.98547717842322	101.60165975103735	300.9564315352697	122.38381742738589	1661.8029045643154	2707.838174273859	36688.205394190874	1544.8070539419086	19.24273858921162	366.3817427385892	18433.773858921162	3004.1763485477177	76.97095435684648	47.72199170124481	3.078838174273859	1258.47510373444	250.15560165975103	2094.3796680497926	1621.7780082987551	30.018672199170126	162.40871369294607	2226.0	2924.896265560166	659.6410788381743	2053.585062240664	39.2551867219917	2094.3796680497926	1.5394190871369295	216.28838174273858	733.5331950207469	Growth with alanine supplementation as a negative control.
Inj00074-Positive-C12.d.DeMP	509.19953295277634	5214.442138038402	430.0570835495589	128.41982355993773	495.76024909185264	609.2475350285417	1788.918007265179	2462.3754540736895	25845.23611831863	349.42138038401663	376.299948105864	338.9686040477426	5937.176959003633	10.452776336274	11.94603009859886	14.185910742086145	362.8606642449403	183.67021276595744	64.20991177996886	8.959522573949144	71.19761757581131	2877.5	159.77815256875974	22537.679034769073	658.5249091852621	406.1650233523612	376.299948105864	18166.925272444216	252.3598858329009	32.85158277114686	137.37934613388688	69876.8098079917	966.1351842241827	3.733134405812143	362.8606642449403	2595.275038920602	59.92026418421165	748.1201349247535	1579.862480539699	264.3059159314997	259.82615464452516	362.8606642449403	382.2729631551635	362.8606642449403	1.4932537623248574	2378.7532433834976	591.3284898806435	Growth with alanine supplementation and lithium chloride treatment as a negative control.
Inj00075-Positive-E10.d.DeMP	9715.31280388979	10595.363857374392	547.566450567261	265.79983792544573	426.4068071312804	470.55024311183143	5660.691247974069	8672.776337115072	66446.20259319287	8376.921393841167	17.845218800648297	3431.9173419773097	12449.388168557536	741.9854132901135	1070.7131280388978	9003.382495948135	1312.0931928687196	17.845218800648297	11.27066450567261	189.72285251215558	94.86142625607779	1934.7974068071312	1342.14829821718	38993.68152350081	2722.8047001620744	157.78930307941653	17.845218800648297	26557.442463533225	3161.421393841167	466.7933549432739	82.6515397082658	1.8784440842787682	1449.2196110210698	546.6272285251216	1312.0931928687196	2497.391410048622	35.690437601296594	298.6726094003242	1704.6880064829822	1700.9311183144246	1179.6628849270664	1259.4967585089141	157.78930307941653	1295.1871961102106	485.5777957860616	1738.5	341.87682333873585	Growth with alanine supplementation as a negative control.
Inj00076-Positive-A8.d.DeMP	7997.947504302927	6230.684165232358	1067.383820998279	257.38812392426854	1705.1118760757315	552.6075731497418	3726.385542168675	3939.862306368331	35263.52409638555	7187.951807228917	18.91566265060241	1917.9130808950088	4176.98364888124	186.45438898450948	1619.9913941480208	4244.539586919105	1242.3537005163512	49.93553917327527	35.350130504534334	391.1488812392427	100.65834767641998	1803.7435456110156	2227.994836488813	23685.111876075734	548.5542168674699	349.9397590361446	18.91566265060241	30367.745266781414	1157.2332185886403	582.3321858864028	49.315834767642	23.644578313253014	874.8493975903615	392.5	1242.3537005163512	689.0705679862307	1.6888984509466438	487.75387263339076	1589.5912220309813	2442.8227194492256	440.4647160068847	1232.89586919105	351.2908777969019	1242.3537005163512	21.61790017211704	813.3734939759037	1082.921686746988	Baseline growth without any supplementation or treatment.
Inj00077-Positive-H3.d.DeMP	6209.034697889069	1712.7643333292638	555.4340563077637	374.8651900936428	1331.5633935438975	60.189622071373634	1376.969599667916	3212.2250937038352	12076.994870707022	6047.473080750119	161.10867072998238	136.2186183720561	6273.4481530882595	163.67353370285812	8.447666255631388	10.031603678562272	52.79791409769617	127.97493944626017	74.34267299994974	95.62496811635636	70.3211202535128	944.0267040668075	521.6433912852382	9461.386206307154	1348.4587260551602	293.5564023831907	165.88747244107267	37030.34503156019	414.9916048078919	25.342998766894162	3.1678748458617703	1274.5416463183856	656.8060513753404	220.69528092836998	52.79791409769617	1290.3810205476943	2.6398957048848084	902.8443310706045	1615.6161713895028	785.632961773719	504.7480587739754	46.46216440597263	202.7439901351533	52.79791409769617	140.71759414193733	1859.5425345208591	299.89215207491424	Growth with supraphysiological level of arginine and lithium chloride treatment.
Inj00086-Positive-D1.d.DeMP	2086.170037803418	759.5350032813283	1354.334007770353	86.47965924278768	475.2560673123091	537.943217295221	151.61543251681024	6036.918327424147	5303.624456693805	2086.170037803418	451.93061615587675	427.14732430216736	1180.8509647943877	228.88098947249242	11.662725578216174	13.849486624131705	1338.743266054561	459.2198196422618	444.6414126694916	8.74704418366213	273.1166390353174	975.2954264783275	5003.309273054739	14461.779716988056	13.849486624131705	115.16941508488472	282.8210952717422	13748.895616019592	689.5586498120313	3.6446017431925544	39.36169882647958	48847.86824366116	1129.826540389692	921.3553206790777	1340.9518334093573	287.1946173635733	16.03624767004724	27.69897324826341	1058.3923462231178	5067.454263734928	397.99051035662694	1344.0794313165595	115.16941508488472	1318.8961384491993	178.77092700169086	3552.757779264102	400.906191751181	Growth with alanine supplementation and lithium chloride treatment as a negative control.
Inj00087-Positive-B4.d.DeMP	4647.695364238411	8480.112582781458	480.83112582781456	311.0662251655629	1449.609271523179	843.7591165596118	3147.2582781456954	3728.728476821192	42642.503311258275	6253.854304635762	55.910874511225096	2854.4900662251657	7286.675496688742	663.8112582781457	1666.135761589404	4585.685430463576	2414.32119205298	79.43335458230464	60.43843848346127	141.78200733439218	54.89403973509934	3084.2317880794703	388.3245033112583	37333.029801324505	1389.632450331126	80.30794701986756	42.70750200218627	15000.30463576159	2471.248344370861	282.6026490066225	32.52980132450331	2.033112582781457	1074.5	248.03973509933775	2388.907284768212	837.6423841059602	41.67880794701987	667.8774834437086	1403.864238410596	1536.0165562913908	744.1192052980133	2390.9403973509934	111.82119205298014	2414.32119205298	797.9966887417219	1560.4139072847681	549.9569536423841	Growth with alanine supplementation as a negative control.
Inj00088-Positive-H7.d.DeMP	1589.5605320946918	1038.2423675224486	308.73817216045626	23.81694470952091	861.8205548593306	316.4318094458502	86.44668820492774	6177.409770399071	6501.143796635893	1526.0486795359693	1590.4426411580073	140.25534106717868	1191.7293445393611	105.85308759787071	7.056872506524714	144.8169546696756	1422.5694988573657	523.97278360946	290.2138818308289	13.351804759657341	146.18954354604944	1354.919521252745	2259.081311151224	10569.43079664739	872.4058636191178	98.796215091346	1565.743587385171	9444.741740920013	663.3460156133231	61.747634432091246	33.52014440599239	66556.89304528784	1550.0668643498432	252.28319210825853	1454.805593868394	453.4040585442129	93.54680053383804	186.12501235958933	935.0356071145246	2125.88284259057	302.5634087172471	1444.7198318755438	125.25948699081367	1468.901793408274	157.62686615842665	1391.0859928486843	574.2530002184486	Growth with alanine supplementation and lithium chloride treatment as a negative control.
Inj00099-Positive-B1.d.DeMP	10605.018646578848	10044.621503169306	668.0866801479722	71.33574408150832	3920.7222420182843	1801.2275380580852	3035.8846471611137	10608.44824965969	58399.281260573254	9239.350699787665	67.22022038449823	6366.715159274618	13327.437572151026	1198.9892370622745	2074.2239432930883	2876.751064210057	2743.682464673397	28.80866587907067	57.17980883886801	168.7364715774139	16.462094788040382	2683.3214504505822	3100.361185080939	53873.57703509449	34.29603080841746	8.231047394020191	67.22022038449823	243510.049787158	4285.632009819847	386.859227518949	257.90615167929934	67.22022038449823	909.5307370392311	108.37545735459918	2743.682464673397	1104.3321920310423	67.22022038449823	5115.595955383549	1451.4080238122272	3725.920787026473	676.3177275419923	2691.5524978446024	4.801444313178445	2743.682464673397	1031.6246067171974	1773.7907134113511	818.989215705009	Growth with supraphysiological level of arginine supplementation.
Inj00100-Positive-G8.d.DeMP	1816.8400616300953	1879.4570037019419	811.1740222943768	3.3205954129009574	253.3139929270159	82.54051454925236	193.54327549479865	2240.9275329348748	13689.391775070833	1611.911887576779	834.892560957955	7.589932372345046	2276.9797117035137	19.923572477405745	7.589932372345046	91.38875465063964	16.60297706450479	388.9840340826836	237.18538663578266	64.24259680628171	141.87970983015322	1272.2624139143384	1138.4898558517568	16982.47368312204	377.599135524166	121.43891795752073	826.3538870390669	62817.12653816723	137.56752424875395	2.3718538663578266	91.07918846814054	45624.03223171261	1340.5718052654436	241.92909436849834	311.416509713058	609.0920728806899	27.51350484975079	1170.7470684342234	191.6457924017124	989.5374330444853	338.70073211589767	328.47713155527606	121.43891795752073	313.64156575587805	86.62670678068767	250.4677682873865	706.8124521746324	Growth with alanine supplementation and lithium chloride treatment as a negative control.
Inj00102-Positive-A1.d.DeMP	408.39763341569784	952.2637501107491	645.4674791545663	86.10796369894277	28.88666187574448	9.462871993778364	212.1030812411852	3731.359840915132	3313.997381400065	408.39763341569784	965.2129433653931	116.27340359796406	325.7220149437395	27.890570086925706	7.968734310550201	40.1681074232114	59.95941261369995	771.9711363345508	568.7684114155206	47.01132150780359	169.60167376591676	665.3893149309419	2754.193796083913	4821.0842578828715	679.3345999744047	103.59354603715262	812.8108996761206	18145.804116911626	281.89397623571335	188.2613480867485	73.71079237258937	25767.898484952893	1184.3531369055238	194.23789881966115	308.196319000421	768.9828609680944	2.490229472046938	197.22617418611748	157.38250263336647	2680.483003711324	74.70688416140814	317.3553844090582	68.73033342849548	311.24414632429375	75.54243794473275	1627.6139829298786	578.7293293037084	Growth with lithium chloride treatment without arginine supplementation.
Inj00104-Positive-G12.d.DeMP	1572.7483230511689	1002.0190346862087	601.535698816478	84.04132899721832	1.6213900237640917	296.0187942442474	56.74865083174321	4904.704821886377	3889.714667010056	1412.2307106985238	591.8073586738935	12.971120190112734	2119.156761059668	32.427800475281835	12.971120190112734	15.403205225758871	28.374325415871606	591.8073586738935	591.8073586738935	10.257636499437947	87.85052699999005	277.2576940636597	4168.59375109748	5149.534715474755	1060.389075541716	87.55506128326095	301.57854442012103	40439.08858270021	460.4747667490021	155.6534422813528	319.41383468152605	43274.89973426361	1321.4328693677348	343.73468503798745	318.6135360676476	243.20850356461375	321.03522470529015	1036.0682251852545	1099.3024361120542	4301.547733046135	6.485560095056367	369.0270492008824	115.11869168725052	332.829636566583	1.6213900237640917	1919.7257881366845	314.5496646102338	Growth with lithium chloride treatment without arginine supplementation.
Inj00115-Positive-B2.d.DeMP	2350.63164893617	2239.561170212766	685.438829787234	135.16718305860616	378.5904255319149	434.7739361702128	1554.9867021276596	1776.2632978723404	14608.577127659575	2340.691489361702	30.252659574468083	76.06382978723404	3405.5851063829787	99.18117581861686	73.47074468085107	330.32025841062745	133.10959883377672	30.252659574468083	30.252659574468083	5.1861702127659575	49.456759285822564	569.6143617021277	1628.4574468085107	11047.406914893616	25.06648936170213	356.9813829787234	19.88031914893617	48424.13563829787	474.5345744680851	88.16489361702128	99.40159574468085	5562.167553191489	737.3005319148936	37.16755319148936	341.3682724123565	512.5664893617021	57.25809520549023	1633.6436170212767	1167.752659574468	1857.5132978723404	184.1090425531915	350.7391721310914	356.9813829787234	333.9330123274558	149.1030012698564	1832.4468085106382	325.0	Growth with supraphysiological level of arginine and lithium chloride treatment.
