	plateID	well	CONCuM	Summary
33	plate_1	C10	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
34	plate_1	C11	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
35	plate_1	C12	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
36	plate_1	D01	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
37	plate_1	D02	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
38	plate_1	D03	Media control	
39	plate_1	D04	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
40	plate_1	D05	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
41	plate_1	D06	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
42	plate_1	D07	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
43	plate_1	D08	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
44	plate_1	D09	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
45	plate_1	D10	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
46	plate_1	D11	Media control	
47	plate_1	D12	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
48	plate_1	E01	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
49	plate_1	E02	Media control	
50	plate_1	E03	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
51	plate_1	E04	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
52	plate_1	E05	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
53	plate_1	E06	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
54	plate_1	E07	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
55	plate_1	E08	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
56	plate_1	E09	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
57	plate_1	E10	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
58	plate_1	E11	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
59	plate_1	E12	Media control	
60	plate_1	F01	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
61	plate_1	F02	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
62	plate_1	F03	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
63	plate_1	F04	Media control	
64	plate_1	F05	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
65	plate_1	F06	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
66	plate_1	F07	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
67	plate_1	F08	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
68	plate_1	F09	Media control	
69	plate_1	F10	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
70	plate_1	F11	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
71	plate_1	F12	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
72	plate_1	G01	Media control	
73	plate_1	G02	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
74	plate_1	G03	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
75	plate_1	G04	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
76	plate_1	G05	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
77	plate_1	G06	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
78	plate_1	G07	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
79	plate_1	G08	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
80	plate_1	G09	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
81	plate_1	G10	Media control	
82	plate_1	G11	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
83	plate_1	G12	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
84	plate_1	H01	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
85	plate_1	H02	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
86	plate_1	H03	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
87	plate_1	H04	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
88	plate_1	H05	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
89	plate_1	H06	Media control	
90	plate_1	H07	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
91	plate_1	H08	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
92	plate_1	H09	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
93	plate_1	H10	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
94	plate_1	H11	Media control	
95	plate_1	H12	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
