	Well	Summary	Treatment	Supplement
63	H8	Growth with proline supplementation without formic acid treatment.	None	NegHigh
64	A9	Growth with proline supplementation without formic acid treatment.	None	NegHigh
65	B9	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
66	C9	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
67	D9	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
68	E9	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
69	F9	Media control	None	None
70	G9	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
71	H9	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
72	A10	Media control	None	None
73	B10	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
74	C10	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
75	D10	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
76	E10	Growth with proline supplementation without formic acid treatment.	None	NegHigh
77	F10	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
78	G10	Media control	None	None
79	H10	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
80	A11	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
81	B11	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
82	C11	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
83	D11	Media control	None	None
84	E11	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
85	F11	Baseline growth without any supplementation or treatment.	None	None
86	G11	Growth with proline supplementation without formic acid treatment.	None	NegHigh
87	H11	Media control	None	None
88	A12	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
89	B12	Baseline growth without any supplementation or treatment.	None	None
90	C12	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
91	D12	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
92	E12	Media control	None	None
93	F12	Growth with proline supplementation without formic acid treatment.	None	NegHigh
94	G12	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
95	H12	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
