	plateID	well	CONCuM	Summary
30	plate_1	C07	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
31	plate_1	C08	Media control	
32	plate_1	C09	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
33	plate_1	C10	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
34	plate_1	C11	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
35	plate_1	C12	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
36	plate_1	D01	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
37	plate_1	D02	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
38	plate_1	D03	Media control	
39	plate_1	D04	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
40	plate_1	D05	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
41	plate_1	D06	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
42	plate_1	D07	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
43	plate_1	D08	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
44	plate_1	D09	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
45	plate_1	D10	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
46	plate_1	D11	Media control	
47	plate_1	D12	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
48	plate_1	E01	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
49	plate_1	E02	Media control	
50	plate_1	E03	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
51	plate_1	E04	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
52	plate_1	E05	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
53	plate_1	E06	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
54	plate_1	E07	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
55	plate_1	E08	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
56	plate_1	E09	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
57	plate_1	E10	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
58	plate_1	E11	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
59	plate_1	E12	Media control	
60	plate_1	F01	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
61	plate_1	F02	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
62	plate_1	F03	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
63	plate_1	F04	Media control	
64	plate_1	F05	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
65	plate_1	F06	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
66	plate_1	F07	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
67	plate_1	F08	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
68	plate_1	F09	Media control	
69	plate_1	F10	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
70	plate_1	F11	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
71	plate_1	F12	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
72	plate_1	G01	Media control	
73	plate_1	G02	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
74	plate_1	G03	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
75	plate_1	G04	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
76	plate_1	G05	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
77	plate_1	G06	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
78	plate_1	G07	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
79	plate_1	G08	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
80	plate_1	G09	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
81	plate_1	G10	Media control	
82	plate_1	G11	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
83	plate_1	G12	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
84	plate_1	H01	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
85	plate_1	H02	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
86	plate_1	H03	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
87	plate_1	H04	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
88	plate_1	H05	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
89	plate_1	H06	Media control	
90	plate_1	H07	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
91	plate_1	H08	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
92	plate_1	H09	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
93	plate_1	H10	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
94	plate_1	H11	Media control	
95	plate_1	H12	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
